latitude,longitude,lugar,label
-34.66977709,-58.50877521,"PAZ, GRAL. AV.",2016-0002
-34.63189362,-58.39040293,ENTRE RIOS AV.,2016-0003
-34.62246630,-58.38718297,SAN JUAN AV.,2016-0005
-34.68475866,-58.44451316,27 DE FEBRERO AV.,2016-0008
-34.66977709,-58.50877521,"PAZ, GRAL. AV.",2016-0010
-34.61303893,-58.38048577,BELGRANO AV.,2016-0012
-34.62477387,-58.39114932,ENTRE RIOS AV.,2016-0013
-34.59912758,-58.43760020,"SCALABRINI ORTIZ, RAUL AV.",2016-0015
-34.63063795,-58.45157703,DIRECTORIO AV.,2016-0021
-34.61079875,-58.38144696,9 DE JULIO AV.,2016-0022
-34.70524971,-58.46244952,"PAZ, GRAL. AV.",2016-0025
-34.54153077,-58.47378664,CABILDO AV.,2016-0029
-34.69843756,-58.47064556,"PAZ, GRAL. AV.",2016-0031
-34.65076549,-58.40623949,"ALCORTA, AMANCIO AV.",2016-0034
-34.60443527,-58.39228965,CORRIENTES AV.,2016-0035
-34.67892743,-58.49683458,"PAZ, GRAL. AV.",2016-0038
-34.60883960,-58.40603217,"MITRE, BARTOLOME",2016-0039
-34.63350444,-58.46076550,DIRECTORIO AV.,2016-0041
-34.67494416,-58.47832463,"DELLEPIANE, LUIS, TTE. GRAL.",2016-0043
-34.53476874,-58.46743471,"PAZ, GRAL. AV.",2016-0045
-34.62571878,-58.38247061,LIMA,2016-0047
-34.59170240,-58.44759966,CORRIENTES AV.,2016-0048
-34.63657525428238,-58.37714647568196,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,2016-0049
-34.65076549,-58.40623949,"ALCORTA, AMANCIO AV.",2016-0051
.,.,"LUGONES, LEOPOLDO AV.",2016-0052
-34.68795245,-58.48695354,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,2016-0054
-34.62556293,-58.38247542,LIMA,2016-0058
-34.62953445,-58.49485242,"JUSTO, JUAN B. AV.",2016-0064
-34.61068024,-58.45227946,GAONA AV.,2016-0065
-34.58418569,-58.39056593,"FIGUEROA ALCORTA, PRES. AV.",2016-0068
-34.62704273,-58.39118948,ENTRE RIOS AV.,2016-0069
-34.67732118,-58.49896559,"PAZ, GRAL. AV.",2016-0074
-34.66874679,-58.47461076,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,2016-0075
-34.60356211,-58.46210891,SAN MARTIN AV.,2016-0076
-34.61463830,-58.40491455,BELGRANO AV.,2016-0078
-34.54864492,-58.45504154,DEL LIBERTADOR AV.,2016-0079
-34.63931752,-58.52927982,"PAZ, GRAL. AV.",2016-0080
-34.64228803,-58.42273092,LA PLATA AV.,2016-0082
-34.62539009,-58.44788671,"ALBERDI, JUAN BAUTISTA AV.",2016-0083
-34.65734100,-58.42378834,"RABANAL, FRANCISCO, INTENDENTE AV.",2016-0085
-34.62907067,-58.37864583,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,2016-0087
-34.55185825,-58.43233425,"LUGONES, LEOPOLDO AV.",2016-0089
-34.61112240,-58.41971993,"SALGUERO, JERONIMO",2016-0090
-34.53476874,-58.46743471,"PAZ, GRAL. AV.",2016-0092
-34.62301748,-58.44362126,"ALBERDI, JUAN BAUTISTA AV.",2016-0093
-34.66684950051973,-58.47433193007387,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,2016-0096
-34.62356174,-58.40042405,SAN JUAN AV.,2016-0098
-34.54795581,-58.49491054,"PAZ, GRAL. AV.",2016-0100
-34.65014993,-58.52932872,"PAZ, GRAL. AV.",2016-0101
-34.67316502,-58.50011639,"PERON, EVA AV.",2016-0102
